unique_id,mean,std,cv,zero_pct,trend,ramp_up,second_half_mean,train_start,active_weeks,bucket,history_length,recent_mean,recent_zero_pct
CA-SC-10-F-265-GR-1TO,0.44144144144144143,0.946160421846207,2.143342996427122,0.7657657657657657,0.014706914706914709,False,0.875,2024-06-24,110,intermittent,full,1.4615384615384615,0.46153846153846156
CA-SC-10-F-265-OR-1TO,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.0006581256581256582,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-265-PK-1TO,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.00035977535977535984,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-265-RD-1TO,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0001842751842751843,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-265-WR-1TO,0.11711711711711711,0.373412284253382,3.1883664270865695,0.9009009009009009,0.003334503334503335,False,0.21428571428571427,2024-06-24,110,intermittent,full,0.3076923076923077,0.6923076923076923
CA-SC-10-F-269-BE-1TO,0.009009009009009009,0.09448728361893259,10.488088481701517,0.990990990990991,3.5100035100035054e-05,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-269-DG-1TO,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00048262548262548264,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-27-BE-1TO,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00048262548262548264,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-28-BE-1TO,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0004563004563004563,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-28-DB-1TO,0.02702702702702703,0.16216216216216217,6.0,0.972972972972973,0.000780975780975781,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-28-GR-1TO,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.0007371007371007374,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-29-BE-1TO,0.6126126126126126,1.0668736103126097,1.7415142756573483,0.6756756756756757,0.02011232011232011,False,1.1964285714285714,2024-06-24,110,intermittent,full,1.9230769230769231,0.15384615384615385
CA-SC-10-F-29-BK-1TO,0.8018018018018018,1.3411022750218664,1.6726107025553614,0.6216216216216216,0.026044226044226047,False,1.5,2026-05-04,14,smooth,short,2.6923076923076925,0.07692307692307693
CA-SC-10-F-29-BR-1TO,0.14414414414414414,0.3992526091200062,2.769814975770043,0.8738738738738738,0.004405054405054405,False,0.2857142857142857,2024-06-24,110,intermittent,full,0.23076923076923078,0.7692307692307693
CA-SC-10-F-29-DB-1TO,0.06306306306306306,0.27767630644004393,4.403152859263554,0.9459459459459459,0.0019480519480519485,False,0.125,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-29-DG-1TO,0.22522522522522523,0.5482927587280338,2.43441984875247,0.8288288288288288,0.0068620568620568635,False,0.44642857142857145,2024-06-24,110,intermittent,full,0.46153846153846156,0.7692307692307693
CA-SC-10-F-29-GR-1TO,0.35135135135135137,0.7058143166054376,2.0088561318770144,0.7567567567567568,0.009582309582309583,False,0.6428571428571429,2024-06-24,110,intermittent,full,0.8461538461538461,0.46153846153846156
CA-SC-10-F-29-RD-1TO,0.009009009009009009,0.09448728361893259,10.488088481701517,0.990990990990991,6.142506142506145e-05,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-29-WH-1TO,0.009009009009009009,0.09448728361893259,10.488088481701517,0.990990990990991,0.00014040014040014043,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-29-WR-1TO,0.14414414414414414,0.3760114730578235,2.6085795943386505,0.8648648648648649,0.004782379782379782,False,0.2857142857142857,2024-06-24,110,intermittent,full,0.38461538461538464,0.6923076923076923
CA-SC-10-F-30-BE-1TO,16.244897959183675,7.1700357561653565,0.4413715478041488,0.0,0.26132653061224503,True,14.482142857142858,2025-09-01,48,smooth,short,22.076923076923077,0.0
CA-SC-10-F-30-BK-1TO,27.416666666666668,9.901248518354755,0.36113976358740746,0.0,0.40306122448979564,True,24.089285714285715,2025-09-08,47,smooth,short,34.07692307692308,0.0
CA-SC-10-F-30-BKRD-STI,0.07207207207207207,0.47858108055111437,6.640312492646712,0.972972972972973,0.0014566514566514569,False,0.14285714285714285,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-30-BKWH-STI,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0001842751842751843,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-30-BR-1TO,1.1981981981981982,1.814952012468738,1.5147343863460896,0.5765765765765766,0.039206739206739206,False,2.3392857142857144,2025-07-14,56,smooth,medium,4.0,0.0
CA-SC-10-F-30-DB-1TO,3.9555555555555557,2.439995952233032,0.6168529092723958,0.06666666666666667,0.0903820816864296,True,3.25,2025-09-29,44,smooth,short,5.6923076923076925,0.0
CA-SC-10-F-30-DG-1TO,11.489795918367347,4.611973985180678,0.40139738059298974,0.0,0.1559183673469388,True,10.142857142857142,2025-09-01,48,smooth,short,15.153846153846153,0.0
CA-SC-10-F-30-GR-1TO,9.448979591836734,4.076118724562174,0.43138189525604004,0.0,0.16826530612244903,True,8.375,2025-09-01,48,smooth,short,13.0,0.0
CA-SC-10-F-30-PK-1TO,0.38738738738738737,0.9021612805131562,2.3288349334176823,0.7657657657657657,0.011284661284661286,False,0.75,2024-06-24,110,intermittent,full,0.38461538461538464,0.7692307692307693
CA-SC-10-F-30-RD-1TO,0.21621621621621623,0.6353746912614578,2.9386079470842423,0.8648648648648649,0.004633204633204634,False,0.42857142857142855,2024-06-24,110,intermittent,full,0.23076923076923078,0.8461538461538461
CA-SC-10-F-30-WH-1TO,0.36036036036036034,0.8573244867293927,2.3790754506740646,0.8198198198198198,0.006870831870831871,False,0.7142857142857143,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-30-WR-1TO,5.086956521739131,2.7332580253046457,0.5373071331795457,0.0,0.052913968547641105,True,4.25,2025-09-22,45,smooth,short,6.0,0.0
CA-SC-10-F-31-BE-1TO,8.708333333333334,4.188070027537214,0.4809267017267614,0.0,0.16576204950065132,True,7.589285714285714,2025-09-08,47,smooth,short,11.923076923076923,0.0
CA-SC-10-F-31-BK-1TO,26.479166666666668,8.53666011811541,0.3223915701569942,0.0,0.2511398176291789,True,23.160714285714285,2025-09-08,47,smooth,short,30.23076923076923,0.0
CA-SC-10-F-31-BKRD-STI,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.00035100035100035104,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-31-BKWH-STI,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00017550017550017544,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-31-BR-1TO,0.3783783783783784,0.8807659857729905,2.3277386766857604,0.7837837837837838,0.011714636714636717,False,0.7321428571428571,2024-06-24,110,intermittent,full,1.0769230769230769,0.46153846153846156
CA-SC-10-F-31-DB-1TO,3.1923076923076925,2.2789881487731614,0.7138999020253276,0.07692307692307693,0.06693417570221119,True,3.0,2025-08-11,51,smooth,medium,3.6923076923076925,0.0
CA-SC-10-F-31-DG-1TO,8.9375,4.043545525484617,0.45242467418009696,0.0,0.14486539296569675,True,7.785714285714286,2025-09-08,47,smooth,short,11.615384615384615,0.0
